ps_code,mp_code,mp_name,boiler_name,boiler_type,creater_time,burn_ability,data_status,open_time,create_time,update_time,stopopen_time,stopopen_status,stopopen_reason,success_time
50AAFD4DDABFFDD60DC87A5C4218C302,50AAFD4DDABFFDD6B23BFB69CBA73A2F,环文再生（2）,#2焚烧炉,炉排炉,2019-12-26,525,0,2020-04-13 00:00:00,2020-03-31 09:35:05,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
2EE2020EF2CF8ACD5E41FA6C7C8A730D,2EE2020EF2CF8ACD12FEAF9CFAF7523B,泰达垃圾焚烧一号炉,黄山泰达环保一号炉,炉排炉,2019-03-23,300,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:05,,,,2023-04-23 00:00:00
2EE2020EF2CF8ACD5E41FA6C7C8A730D,2EE2020EF2CF8ACD10EA1A0BBCEC62AE,泰达垃圾焚烧二号炉,黄山泰达环保二号炉,炉排炉,2019-03-23,300,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:05,,,,2023-04-23 00:00:00
2EE2020EF2CF8ACD5E41FA6C7C8A730D,0CCB879D9547F5E7A5DDCC9B59B89C05235551ACA0BAF89ED35E4047B2B3433E97ED9BA158DA419F,泰达垃圾焚烧三号炉,泰达垃圾焚烧三号炉,炉排炉,2022-02-16,300,0,2022-11-30 00:00:00,2022-11-30 09:35:24,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
BB3FB34796C605EA352DB3CEC6FDEDA9,BB3FB34796C605EA2260398571C45ACE,废气排放口2,废气排放口2,炉排炉,2019-08-23,500,0,2020-02-24 00:00:00,2020-02-13 09:20:35,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
BB3FB34796C605EA352DB3CEC6FDEDA9,BB3FB34796C605EA21C75B5F228348B8,废气排放口3,废气排放口3,炉排炉,2019-08-23,500,0,2020-02-24 00:00:00,2020-02-13 09:20:35,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
AE161A7AB1D01B42F8AAA6FF35E6BF6E,AE161A7AB1D01B422DE90A0E36191203,1#烟囱排放口,1#烟囱排放口,炉排炉,2021-01-20,600,0,2021-08-31 00:00:00,2021-08-24 09:35:07,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
AE161A7AB1D01B42F8AAA6FF35E6BF6E,AE161A7AB1D01B42C14BA81E220C43ED,2#烟囱排放口,2#烟囱排放口,炉排炉,2021-01-20,600,0,2021-08-31 00:00:00,2021-08-24 09:35:07,2023-04-25 12:10:01,,,,2023-04-23 00:00:00
4EA3A1FD45F36A330F3B7145BEF71E24,4EA3A1FD45F36A3327915278E60BCD9D,1#炉排放口,#1炉,炉排炉,2019-07-14,350,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:05,,,,2023-04-23 00:00:00
4EA3A1FD45F36A330F3B7145BEF71E24,4EA3A1FD45F36A33C6BE95E9582B8386,2#炉排放口,#2炉,炉排炉,2019-07-14,350,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
